Agency Code,Agency Name,GEOID
13467,Buffalo Grove Police,1600000US1709447
13468,College Of Lake County Police,
13469,Deerfield Police,1600000US1718992
13470,Fox Lake Police,1600000US1727442
13471,Grayslake Police,1600000US1731121
13472,Great Lakes Naval Station,
13473,Gurnee Police,1600000US1732018
13474,Highland Park Police,1600000US1734722
13475,Highwood Police,1600000US1734865
13476,Island Lake Police,1600000US1737894
13477,Kildeer Police,1600000US1739883
13478,Lake Bluff Police,1600000US1740910
13479,Lake County Forest Preserve Police,
13480,Lake County Sheriff,
13481,Lake Forest Police,1600000US1741105
13482,Lake Villa Police,1600000US1741586
13483,Lake Zurich Police,1600000US1741742
13484,Lakemoor Police,1600000US1741326
13485,Libertyville Police,1600000US1743250
13486,Lincolnshire Police,1600000US1743666
13487,Lindenhurst Police,1600000US1743770
13488,Mundelein Police,1600000US1751349
13489,North Chicago Police,1600000US1753559
13490,Park City Police,1600000US1757654
13491,Riverwoods Police,1600000US1764538
13492,Round Lake Beach Police,1600000US1766040
13493,Round Lake Heights Police,1600000US1766053
13494,Round Lake Park Police,1600000US1766066
13495,Round Lake Police,1600000US1766027
13496,Tower Lakes Police,1600000US1775874
13497,Vernon Hills Police,1600000US1777694
13498,Wauconda Police,1600000US1779267
13499,Waukegan Police,1600000US1779293
13500,Winthrop Harbor Police,1600000US1782686
13501,Zion Police,1600000US1784220
13502,Tonica Police,1600000US1775718
13503,Streator Police,1600000US1773170
13504,Sheridan Police,1600000US1769277
13505,Seneca Police,1600000US1768640
13506,Peru Police,1600000US1759234
13507,Ottawa Police,1600000US1756926
13508,Oglesby Police,1600000US1755353
13509,North Utica-Utica Police,
13510,Mendota Police,1600000US1748333
13511,Marseilles Police,1600000US1747150
13512,Leland Police,1600000US1742756
13513,Lasalle Police,1600000US1742184
13514,Lasalle County Sheriff,
13515,Grand Ridge Police,1600000US1730757
13516,Earlville Police,1600000US1721540
13517,Cedar Point Police,1600000US1711982
13518,Lostant Police,1600000US1744823
13520,Lawrenceville Police,1600000US1742405
13521,Lawrence County Sheriff,
13522,Bridgeport Police,1600000US1708186
13523,Sumner Police,1600000US1773703
